Date,Close,High,Low,Volume
2023-04-05,1.4461134672164917,1.454985320543643,1.4283697605621892,3933200
2023-04-06,1.437241554260254,1.4549852601783957,1.4194978483421123,5444800
2023-04-07,1.41062593460083,1.4461133449080026,1.3928822294472438,5459100
2023-04-10,1.4461134672164917,1.4461134672164917,1.419497907235038,4638200
2023-04-11,1.4638570547103882,1.4727289073153558,1.4372414968954852,11399900
2023-04-12,1.4638570547103882,1.4638570547103882,1.4372414968954852,4927300
2023-04-13,1.4461134672164917,1.454985320543643,1.4283697605621892,2997700
2023-04-14,1.437241554260254,1.4638571131374662,1.4283697013011831,4672000
2023-04-17,1.4461134672164917,1.454985320543643,1.4283697605621892,2606500
2023-04-18,1.4461134672164917,1.4461134672164917,1.4283697605621892,3080900
2023-04-19,1.437241554260254,1.4638571131374662,1.4283697013011831,8649800
2023-04-20,1.428369641304016,1.4549851990632698,1.428369641304016,5703800
2023-04-25,1.41062593460083,1.4283696397544163,1.401754082024037,3008400
2023-04-26,1.375138521194458,1.4194978931509188,1.375138521194458,2743700
2023-04-27,1.3928823471069336,1.401754200433151,1.375138534693665,1167100
2023-04-28,1.4017541408538818,1.4194978467521489,1.3840103291947852,3872900
2023-05-02,1.437241554260254,1.446113407219325,1.4017541424239708,4152100
2023-05-03,1.41062593460083,1.4372414923312091,1.3840102711096256,5880200
2023-05-05,1.3928823471069336,1.4106260537593678,1.3840103880198824,1866300
2023-05-08,1.41062593460083,1.4372414923312091,1.401754082024037,7570000
2023-05-09,1.41062593460083,1.419497787177623,1.3928822294472438,5668100
2023-05-10,1.41062593460083,1.4461133449080026,1.3928822294472438,9596100
2023-05-11,1.41062593460083,1.4283696397544163,1.3928822294472438,16561600
2023-05-12,1.4194977283477783,1.4904725460206338,1.3928821717204576,30140800
2023-05-15,1.41062593460083,1.4372414923312091,1.401754082024037,8838300
2023-05-16,1.4017541408538818,1.4283696997012825,1.3840103291947852,9127700
2023-05-17,1.3840104341506958,1.410626100777315,1.3662667269068414,10820600
2023-05-18,1.41062593460083,1.41062593460083,1.3662665659560391,13392200
2023-05-19,1.4194977283477783,1.4194977283477783,1.3928821717204576,7873100
2023-05-22,1.41062593460083,1.4638570500615886,1.401754082024037,13364000
2023-05-23,1.4194977283477783,1.4283695805568852,1.4017540239295645,7642300
2023-05-24,1.4194977283477783,1.446113284975099,1.4106258761386714,8822400
2023-05-25,1.437241554260254,1.446113407219325,1.4106259953830416,13369700
2023-05-26,1.4194977283477783,1.47272884160242,1.4106258761386714,15501100
2023-05-29,1.428369641304016,1.4638570516496878,1.419497788717598,11967700
2023-05-30,1.4461134672164917,1.454985320543643,1.419497907235038,14303200
2023-05-31,1.3928823471069336,1.4549853203904537,1.375138534693665,97905800
2023-06-01,1.3804140090942385,1.4427553355554377,1.3804140090942385,8955500
2023-06-02,1.4160375595092771,1.42494344742968,1.389319789581511,6240200
2023-06-06,1.389319896697998,1.4427553345068416,1.3447904536627673,6641000
2023-06-07,1.3715081214904783,1.4071317821373486,1.3626022328704026,5937100
2023-06-08,1.398226022720337,1.398226022720337,1.3626023587816625,4194700
2023-06-09,1.3804140090942385,1.407131781101362,1.3626022318672004,5752700
2023-06-12,1.4071317911148071,1.4249435684685974,1.3804140189175544,2958900
2023-06-13,1.4160375595092771,1.4338493353500827,1.389319789581511,3727100
2023-06-14,1.4160375595092771,1.4338493353500827,1.3982257836684722,2842100
2023-06-15,1.4071317911148071,1.4160376797917025,1.3804140189175544,6129000
2023-06-16,1.3715081214904783,1.4071317821373486,1.3715081214904783,21150000
2023-06-19,1.4071317911148071,1.4071317911148071,1.3626022415637642,2530700
2023-06-20,1.3715081214904783,1.4071317821373486,1.3626022328704026,3968600
2023-06-21,1.398226022720337,1.4516613593784835,1.3804141376677117,5292500
2023-06-22,1.398226022720337,1.4249436910494104,1.389320027110736,3512400
2023-06-23,1.398226022720337,1.416037801606386,1.389320027110736,3841100
2023-06-26,1.4160375595092771,1.4338493353500827,1.4071316715888749,3678800
2023-06-27,1.398226022720337,1.4249436910494104,1.371508248224687,7173500
